index,ppt,trial,stimulus_left,stimulus_right,reward_left,reward_right,responses,feedback
747,8,76,2,3,0,1,1,0
748,8,77,3,2,0,1,1,0
749,8,78,3,2,0,1,1,0
750,8,79,4,3,0,1,1,0
751,8,80,1,4,0,1,1,0
752,8,81,4,3,1,1,1,1
753,8,82,1,2,1,1,1,1
754,8,83,4,3,1,1,1,1
755,8,84,4,2,0,1,1,0
756,8,85,3,1,1,1,2,1
757,8,86,2,3,0,0,2,0
758,8,87,3,1,1,0,2,0
759,8,88,1,3,0,0,2,0
760,8,89,3,1,0,0,1,0
761,8,90,1,4,0,1,2,1
762,8,91,1,3,0,1,1,0
763,8,92,4,3,0,1,1,0
764,8,93,3,1,1,0,2,0
765,8,94,1,3,1,0,2,0
766,8,95,3,1,1,0,1,1
767,8,96,1,2,0,0,2,0
