ppt,trial,block,stake,s1,s2,choice,stimuli_left,stimuli_right,points,rews_1,rews_2,rt_1,rt_2,timeout_1,timeout_2,missed,score
114,106,4,5,1,2,1,1,2,0.444444,0.888889,0.444444,0.676769,1.45914,0,0,0,189.111
114,107,4,1,2,2,3,4,3,0.666667,0.444444,0.666667,0.907694,0.424948,0,0,0,189.778
114,108,4,1,1,2,1,2,1,0.555556,0.555556,0.555556,0.986318,0.394182,0,0,0,190.333
114,109,4,1,2,2,3,3,4,0.333333,0.666667,0.333333,0.868863,0.53248,0,0,0,190.667
114,110,4,5,2,1,4,3,4,0.666667,0.666667,0.333333,0.426885,0.504846,0,0,0,194
114,111,4,1,1,2,1,2,1,0.333333,0.444444,0.333333,1.04721,0.489066,0,0,0,194.333
114,112,4,1,2,1,4,3,4,0.444444,0.444444,0.444444,0.396721,0.563167,0,0,0,194.778
114,113,4,5,2,1,4,3,4,0.333333,0.333333,0.111111,0.364242,0.243947,0,0,0,196.444
114,114,4,1,2,2,3,4,3,0,0.333333,0,0.645646,0.554415,0,0,0,196.444
114,115,4,5,2,1,4,4,3,0.222222,0.222222,0.111111,0.393666,0.554723,0,0,0,197.556
114,116,4,5,1,2,1,1,2,0.111111,0.111111,0.111111,1.08351,0.370902,0,0,0,198.111
114,117,4,1,2,2,3,4,3,0.333333,0.111111,0.333333,0.696612,0.25099,0,0,0,198.444
114,118,4,5,2,1,4,3,4,0.111111,0.111111,0.111111,0.439796,0.238678,0,0,0,199
114,119,4,1,1,2,1,2,1,0.111111,0.111111,0.111111,1.09222,0.37822,0,0,0,199.111
114,120,4,5,2,2,3,3,4,0,0,0,0.664029,0.336336,0,0,0,199.111
114,121,4,1,1,1,2,1,2,0.222222,0.222222,0.111111,0.717376,0.228001,0,0,0,199.333
114,122,4,5,1,1,2,1,2,0.333333,0.333333,0.333333,0.646266,0.309061,0,0,0,201
