"participant","signal","stimulus_intensity","response","confidence","accuracy"
"8",1,6,0,47,0
"8",1,10,0,51,0
"8",1,14,0,40,0
"8",1,18,1,60,1
"8",0,18,0,67,1
"8",1,14,1,53,1
"8",1,14,1,48,1
"8",0,10,0,44,1
"8",1,10,0,50,0
"8",0,14,0,50,1
"8",0,14,1,44,0
"8",0,18,0,41,1
"8",1,18,1,23,1
"8",0,14,0,32,1
"8",0,14,0,66,1
"8",1,10,1,50,1
"8",0,10,0,46,1
"8",0,6,0,44,1
"8",0,6,0,48,1
"8",1,2,0,41,0
"8",0,6,0,46,1
"8",1,6,1,43,1
"8",1,2,1,38,1
"8",1,2,1,42,1
"8",0,2,0,33,1
"8",1,2,0,30,0
"8",0,6,0,62,1
"8",0,6,1,45,0
"8",1,10,0,36,0
"8",0,14,0,35,1
"8",1,14,1,58,1
"8",1,10,1,55,1
"8",1,10,0,51,0
"8",1,14,1,51,1
"8",1,14,1,55,1
"8",0,10,0,50,1
"8",0,10,0,51,1
"8",1,6,1,49,1
"8",1,6,1,59,1
"8",0,2,1,47,0
"8",0,6,0,55,1
"8",0,6,1,49,0
"8",0,10,0,49,1
"8",1,10,1,35,1
"8",1,6,1,44,1
"8",1,6,1,44,1
"9",0,8,0,100,1
"9",0,8,1,95,0
"9",0,12,1,17,0
"9",1,16,1,70,1
"9",0,16,0,16,1
"9",1,12,1,82,1
"9",1,12,1,80,1
"9",0,8,0,37,1
"9",0,8,0,61,1
"9",1,4,1,8,1
"9",1,4,1,81,1
"9",0,2,0,7,1
"9",0,2,1,20,0
"9",0,6,0,100,1
"9",1,6,0,100,0
"9",1,10,1,100,1
"9",0,10,0,72,1
"9",1,6,1,61,1
"9",0,6,1,78,0
"9",1,10,1,18,1
"9",1,10,1,76,1
"9",1,6,1,22,1
"9",0,6,1,100,0
"9",0,10,0,100,1
"9",1,10,0,39,0
"9",0,14,0,100,1
"9",0,14,0,100,1
"9",0,10,0,99,1
"9",0,10,0,22,1
"9",0,6,1,18,0
"9",1,10,1,100,1
"9",0,10,0,81,1
"9",1,6,1,26,1
"9",0,6,1,17,0
"9",1,10,0,97,0
"9",0,14,0,100,1
"9",0,14,0,100,1
"9",0,10,0,27,1
"9",0,10,0,100,1
"9",1,6,1,40,1
"9",1,6,1,23,1
"9",1,2,1,100,1
"9",1,2,0,29,0
"9",0,6,0,100,1
"9",1,6,1,29,1
"9",0,2,1,98,0
"9",0,6,0,54,1
"9",1,6,0,11,0
"9",0,10,1,10,0
"9",0,14,0,100,1
"9",0,14,0,100,1
"9",1,10,1,100,1
"9",1,10,1,6,1
"9",0,6,0,75,1
"9",1,6,1,26,1
"9",0,2,1,35,0
"9",0,6,1,100,0
"9",0,10,0,100,1
"9",0,10,1,100,0
"9",1,14,1,100,1
"9",1,14,1,100,1
"9",1,10,0,39,0
"9",0,14,1,24,0
"9",0,18,0,22,1
"9",1,18,1,23,1
"9",1,14,1,100,1
"9",0,14,0,38,1
"9",0,10,0,100,1
"9",1,10,1,83,1
"9",0,6,0,100,1
"9",0,6,0,69,1
"9",1,2,0,52,0
"9",1,6,1,100,1
"9",0,6,0,100,1
"9",0,2,0,49,1
"9",0,2,0,76,1
"9",1,2,1,81,1
"9",1,2,0,58,0
"9",1,6,1,100,1
"9",1,6,0,100,0
"10",0,12,0,45,1
"10",0,12,1,42,0
"10",0,16,0,50,1
"10",0,16,0,39,1
"10",1,12,1,33,1
"10",0,12,0,48,1
"10",0,8,0,50,1
"10",1,8,1,53,1
"10",0,4,0,39,1
"10",0,4,1,49,0
"10",0,8,0,59,1
"10",1,8,1,50,1
"10",0,4,1,38,0
"10",0,8,0,53,1
"10",1,8,1,48,1
"10",0,4,0,46,1
"10",0,4,0,46,1
"10",0,2,1,50,0
"10",1,6,0,44,0
"10",0,10,0,46,1
"10",0,10,0,49,1
"10",0,6,0,42,1
"10",0,6,1,55,0
"10",0,10,0,47,1
"10",1,10,1,41,1
"10",0,6,0,56,1
"10",1,6,1,43,1
"10",1,2,1,41,1
"10",0,2,0,43,1
"10",0,2,1,50,0
"10",1,6,1,48,1
"10",1,6,1,50,1
"10",1,2,1,45,1
"10",0,2,0,37,1
"10",1,2,1,44,1
"10",0,2,0,51,1
"10",1,2,1,41,1
"10",1,2,0,44,0
"10",1,6,1,44,1
"10",0,6,0,45,1
"10",1,2,0,44,0
"10",0,6,0,45,1
"10",0,6,1,54,0
"10",1,10,1,48,1
"10",1,10,1,48,1
"10",0,6,0,42,1
"10",0,6,0,53,1
"10",0,2,0,49,1
"10",0,2,1,53,0
"10",0,6,1,40,0
"10",0,10,0,35,1
"10",0,10,1,54,0
"10",0,14,0,60,1
"10",0,14,0,48,1
"10",1,10,0,40,0
"10",1,14,1,48,1
"10",1,14,1,58,1
"10",0,10,0,38,1
"10",1,10,1,38,1
"10",0,6,0,31,1
"10",1,6,1,48,1
"10",1,2,1,47,1
"10",0,2,1,36,0
"10",0,6,0,47,1
"10",0,6,1,56,0
"10",1,10,0,48,0
"10",0,14,0,45,1
"10",1,14,1,33,1
"10",1,10,1,44,1
"10",0,10,0,51,1
"10",0,6,0,37,1
"10",1,6,1,54,1
"10",0,2,0,41,1
